Product Name,Quantity (liters/kg),Price per Unit,Total Value,Shelf Life (days),Price per Unit (sold),Year,Month,Day,DayOfWeek,Quarter,Days_to_Sell,Days_to_Expire,Sales_Velocity,Quantity_Sold_Hist_Mean,Sales_Velocity_Hist_Mean,Sales_Volatility_Hist,Capacity_Utilization,Sales_Trend_7d,Seasonal_Volatility,Stock_Efficiency
Ice Cream,912.66,10.785,39162.2406,29,43.14,2022,1,18,1,1,29,0,22.517241379310345,177.0,9.125,72.25225364557888,2.4676428908833254,367.85714285714283,26.732437350347993,22.517241379310345
Paneer,402.34,18.885,32122.8256,12,75.54,2020,12,14,0,4,12,0,21.0,182.0,18.88888888888889,39.60277158687125,1.1117647058823528,337.7142857142857,41.899535739905225,21.0
Butter,966.19,18.2375,67072.90980000001,38,72.95,2019,8,20,1,3,5,33,129.8,217.0,8.947368421052632,54.71471100437881,14.507058823529412,400.7142857142857,73.83495093260214,3.9333333333333336
Yogurt,467.54,12.4775,24190.519600000003,23,49.91,2020,6,19,4,2,23,0,14.347826086956522,178.0,9.954545454545455,44.4674005868485,1.4413341274568194,245.28571428571428,57.62585415815926,14.347826086956522
Curd,82.1,18.675,6478.511,5,74.7,2019,7,12,4,3,5,0,13.6,196.0,34.57142857142857,69.91022195694126,0.39338842975206617,235.28571428571428,39.21535920875862,13.6
Ice Cream,384.79,3.685,4332.7354000000005,27,14.74,2019,11,27,2,4,3,24,44.0,177.0,9.125,72.25225364557888,4.821917808219178,244.85714285714286,35.394577275590606,1.8333333333333333
Milk,999.78,12.035,49049.2068,2,48.14,2021,12,21,1,4,2,0,249.5,202.0,29.043478260869566,164.33150316519354,8.590568862275449,259.14285714285717,160.85683220493374,249.5
Ice Cream,818.87,20.445,66770.65980000001,21,81.78,2020,1,23,3,1,21,0,38.38095238095238,177.0,9.125,72.25225364557888,4.206131767775603,372.2857142857143,26.732437350347993,38.38095238095238
Paneer,929.42,6.035,26414.1164,10,24.14,2022,9,27,1,3,10,0,8.7,182.0,18.88888888888889,39.60277158687125,0.46058823529411763,149.42857142857142,25.485395791201146,8.7
Cheese,385.32,7.8825,13832.988,76,31.53,2021,1,13,2,1,33,43,5.212121212121212,194.0,7.842105263157895,56.94558885722439,0.6646329062436445,254.71428571428572,47.63962483433812,0.1212121212121212
Yogurt,211.38,20.6575,17538.1986,30,82.63,2019,9,8,6,3,4,26,10.0,178.0,9.954545454545455,44.4674005868485,1.004566210045662,250.42857142857142,62.732106962083954,0.38461538461538464
Milk,910.81,16.085,62208.323,2,64.34,2020,12,10,3,4,2,0,106.0,202.0,29.043478260869566,164.33150316519354,3.649700598802395,343.57142857142856,160.85683220493374,106.0
Milk,864.53,14.5825,47791.2184,2,58.33,2019,1,23,2,1,2,0,305.5,202.0,29.043478260869566,164.33150316519354,10.5187125748503,160.0,177.43517510271528,305.5
Cheese,593.95,13.1275,33908.605500000005,69,52.51,2022,2,6,6,1,42,27,1.6904761904761905,194.0,7.842105263157895,56.94558885722439,0.21556407798018537,326.2857142857143,19.956558294996615,0.06261022927689594
Curd,777.2,5.995,18404.096,7,23.98,2021,2,14,6,1,4,3,56.0,196.0,34.57142857142857,69.91022195694126,1.6198347107438018,171.42857142857142,34.44428802335061,18.666666666666668
Milk,415.68,22.9125,38541.8496,22,91.65,2022,11,19,5,4,22,0,9.045454545454545,202.0,29.043478260869566,164.33150316519354,0.31144529123571035,110.85714285714286,122.84842629047019,9.045454545454545
Ghee,369.28,17.17,26883.583999999995,129,68.68,2020,8,10,0,3,3,126,118.33333333333333,188.0,6.563383492932056,43.34753878230251,18.029318789731477,187.85714285714286,52.379284671134336,0.9391534391534391
Butter,484.22,18.235,37546.41880000001,29,72.94,2019,12,3,1,4,25,4,2.76,217.0,8.947368421052632,54.71471100437881,0.3084705882352941,430.7142857142857,28.678109787895327,0.69
Cheese,491.23,22.925,45733.513,56,91.7,2020,12,16,2,4,31,25,14.451612903225806,194.0,7.842105263157895,56.94558885722439,1.8428231218878546,280.0,17.59842788346705,0.5780645161290322
Ghee,265.64,9.62,11247.1976,133,38.48,2020,7,22,2,3,50,83,0.94,188.0,6.563383492932056,43.34753878230251,0.1432188140480078,181.42857142857142,17.020182178662996,0.011325301204819277
Yogurt,763.93,20.9825,61389.4148,24,83.93,2021,2,9,1,1,24,0,22.0,178.0,9.954545454545455,44.4674005868485,2.2100456621004563,308.85714285714283,39.17944504614831,22.0
Ghee,807.26,8.2525,27099.7182,96,33.01,2021,11,8,0,4,18,78,3.111111111111111,188.0,6.563383492932056,43.34753878230251,0.4740102592605459,195.14285714285714,22.91103110926069,0.039886039886039885
Buttermilk,204.77,13.495,10768.8543,12,53.98,2019,8,9,4,3,12,0,3.9166666666666665,152.0,18.0,48.52413783860662,0.2175925925925926,295.7142857142857,38.22123656599648,3.9166666666666665
Curd,579.68,10.0075,22416.2256,5,40.03,2019,12,2,0,4,5,0,49.8,196.0,34.57142857142857,69.91022195694126,1.4404958677685953,325.2857142857143,61.21557234920363,49.8
Milk,586.16,19.24,44202.3256,2,76.96,2021,5,29,5,2,2,0,136.5,202.0,29.043478260869566,164.33150316519354,4.699850299401198,296.2857142857143,130.0079689939997,136.5
Buttermilk,959.1,20.445,77408.961,14,81.78,2022,12,19,0,4,10,4,26.3,152.0,18.0,48.52413783860662,1.461111111111111,253.0,116.58366916634911,6.575
Ice Cream,204.89,12.6225,10736.236,24,50.49,2021,7,1,3,3,22,2,5.2272727272727275,177.0,9.125,72.25225364557888,0.572851805728518,338.57142857142856,61.64490496018566,2.6136363636363638
Ghee,521.22,21.5425,42333.4884,112,86.17,2019,1,24,3,1,30,82,12.9,188.0,6.563383492932056,43.34753878230251,1.9654496821481922,290.0,62.08880732047191,0.1573170731707317
Curd,754.26,15.68,45949.5192,7,62.72,2019,12,2,0,4,7,0,81.14285714285714,196.0,34.57142857142857,69.91022195694126,2.347107438016529,417.2857142857143,61.21557234920363,81.14285714285714
Butter,795.28,11.265,36018.231199999995,37,45.06,2021,7,25,6,3,27,10,12.703703703703704,217.0,8.947368421052632,54.71471100437881,1.4198257080610022,270.57142857142856,21.99658905696661,1.2703703703703704
Curd,311.13,4.1,6166.5966,5,16.4,2022,3,26,5,1,5,0,33.0,196.0,34.57142857142857,69.91022195694126,0.9545454545454547,362.2857142857143,85.70308998374571,33.0
Paneer,174.62,14.3,9675.6942,10,57.2,2019,10,15,1,4,10,0,14.4,182.0,18.88888888888889,39.60277158687125,0.7623529411764706,334.0,48.974162968296724,14.4
Ghee,729.21,3.215,11937.167700000002,85,12.86,2019,3,11,0,1,21,64,21.80952380952381,188.0,6.563383492932056,43.34753878230251,3.3229086542040305,313.2857142857143,31.03633279344621,0.34077380952380953
Curd,249.92,4.4775,3466.3904,7,17.91,2022,11,25,4,4,7,0,1.7142857142857142,196.0,34.57142857142857,69.91022195694126,0.049586776859504134,332.2857142857143,54.82630570341712,1.7142857142857142
Butter,908.96,20.43,74234.7632,29,81.72,2022,4,15,4,2,29,0,27.137931034482758,217.0,8.947368421052632,54.71471100437881,3.0330628803245436,330.14285714285717,139.69796862977364,27.137931034482758
Milk,48.64,13.04,2655.2576000000004,2,52.16,2021,2,1,0,1,2,0,17.5,202.0,29.043478260869566,164.33150316519354,0.6025449101796407,178.28571428571428,171.3047644048469,17.5
Butter,257.57,20.2325,19606.2284,27,80.93,2021,10,13,2,4,15,12,4.933333333333334,217.0,8.947368421052632,54.71471100437881,0.5513725490196079,364.85714285714283,20.461536028258692,0.41111111111111115
Curd,85.73,4.95,1289.3792,7,19.8,2021,1,3,6,1,7,0,10.571428571428571,196.0,34.57142857142857,69.91022195694126,0.30578512396694213,207.42857142857142,44.43556072012025,10.571428571428571
Curd,208.75,8.7825,7158.037499999999,6,35.13,2020,1,13,0,1,3,3,20.0,196.0,34.57142857142857,69.91022195694126,0.578512396694215,134.71428571428572,44.43556072012025,6.666666666666667
Lassi,190.11,7.975,5317.3767,12,31.9,2019,6,8,5,2,12,0,9.916666666666666,192.0,15.75,49.63685879040302,0.6296296296296297,220.42857142857142,23.51479496534756,9.916666666666666
Curd,912.98,16.6,58257.253800000006,5,66.4,2022,6,24,4,2,5,0,10.4,196.0,34.57142857142857,69.91022195694126,0.30082644628099175,289.57142857142856,98.47287847669386,10.4
Buttermilk,522.19,3.07,6459.4903,7,12.28,2021,12,20,0,4,7,0,30.571428571428573,152.0,18.0,48.52413783860662,1.6984126984126984,291.2857142857143,116.58366916634911,30.571428571428573
Milk,909.29,16.63,60167.7193,26,66.52,2022,2,11,4,1,26,0,13.153846153846153,202.0,29.043478260869566,164.33150316519354,0.452901888530631,279.42857142857144,171.3047644048469,13.153846153846153
Ice Cream,27.64,7.1725,749.0440000000001,21,28.69,2021,8,20,4,3,21,0,1.0,177.0,9.125,72.25225364557888,0.1095890410958904,476.0,165.4885276378345,1.0
Butter,695.34,5.7,13913.7534,31,22.8,2022,10,29,5,4,31,0,2.774193548387097,217.0,8.947368421052632,54.71471100437881,0.31005692599620494,102.0,20.461536028258692,2.774193548387097
Butter,318.94,1.9475,3498.7718,33,7.79,2022,4,4,0,2,12,21,18.333333333333332,217.0,8.947368421052632,54.71471100437881,2.049019607843137,386.0,139.69796862977364,0.8730158730158729
Paneer,989.64,10.295,43267.0608,12,41.18,2022,2,1,1,1,12,0,13.0,182.0,18.88888888888889,39.60277158687125,0.6882352941176471,213.71428571428572,25.97957563681851,13.0
Cheese,785.93,15.71,51839.94279999999,80,62.84,2022,12,11,6,4,12,68,44.25,194.0,7.842105263157895,56.94558885722439,5.64261744966443,241.42857142857142,17.59842788346705,0.6507352941176471
Yogurt,573.82,17.74,38027.0514,24,70.96,2019,12,2,0,4,3,21,157.66666666666666,178.0,9.954545454545455,44.4674005868485,15.838660578386603,183.14285714285714,32.42941191130222,7.507936507936508
Curd,197.87,15.2525,11717.8614,6,61.01,2019,8,18,6,3,6,0,30.833333333333332,196.0,34.57142857142857,69.91022195694126,0.8918732782369146,348.0,124.4520493391122,30.833333333333332
Cheese,650.13,8.885,21434.7861,58,35.54,2022,3,7,0,1,43,15,0.9069767441860465,194.0,7.842105263157895,56.94558885722439,0.11565475261432807,203.71428571428572,10.058263399025437,0.06046511627906977
Ice Cream,884.91,12.9025,48855.8811,22,51.61,2021,11,7,6,4,22,0,7.909090909090909,177.0,9.125,72.25225364557888,0.8667496886674969,267.42857142857144,35.394577275590606,7.909090909090909
Lassi,259.1,18.6375,19779.694000000003,18,74.55,2021,3,13,5,1,12,6,10.083333333333334,192.0,15.75,49.63685879040302,0.6402116402116402,175.0,22.304634251858513,1.6805555555555556
Paneer,90.99,13.0025,5141.844899999999,11,52.01,2019,5,23,3,2,11,0,1.4545454545454546,182.0,18.88888888888889,39.60277158687125,0.07700534759358289,184.28571428571428,67.12940603786501,1.4545454545454546
Cheese,539.08,3.135,8005.338000000001,64,12.54,2019,6,7,4,2,47,17,8.23404255319149,194.0,7.842105263157895,56.94558885722439,1.0499785806083108,314.85714285714283,17.902378599111444,0.48435544430538174
Curd,913.43,8.425,26982.7222,5,33.7,2022,2,15,1,1,5,0,49.6,196.0,34.57142857142857,69.91022195694126,1.434710743801653,355.7142857142857,34.44428802335061,49.6
Paneer,969.09,15.0375,59443.9806,7,60.15,2018,12,15,5,4,7,0,111.28571428571429,182.0,18.88888888888889,39.60277158687125,5.891596638655462,324.2,41.899535739905225,111.28571428571429
