Location,Total Land Area (acres),Number of Cows,Farm Size,Date,Product ID,Product Name,Brand,Quantity (liters/kg),Price per Unit,Total Value,Shelf Life (days),Storage Condition,Production Date,Expiration Date,Quantity Sold (liters/kg),Price per Unit (sold),Approx. Total Revenue(INR),Customer Location,Sales Channel,Quantity in Stock (liters/kg),Minimum Stock Threshold (liters/kg),Reorder Quantity (liters/kg),Date_Sell,Year,Month,Day,DayOfWeek,Quarter,Days_to_Sell,Days_to_Expire,Expire,Sales_Velocity,Quantity_Sold_Hist_Mean,Sales_Velocity_Hist_Mean,Sales_Volatility_Hist,Quantity_Sold_Before_Expire,Quantity_Lost,Capacity_Utilization,Sales_Trend_7d,Seasonal_Volatility,Stock_Efficiency,Value_Lost,Revenue_Before_Losses,Real_Revenue
Delhi,672.52,32,Medium,2019-01-07,2,Butter,Amul,30.69,23.0575,2755.962,29,Frozen,2018-11-28,2018-12-27,22,92.23,2029.06,Uttar Pradesh,Retail,8,27.1,22.11,2018-12-27,2018,12,27,3,4,29,0,1,0.7586206896551724,217.0,8.947368421052632,54.71471100437881,0.0,8.0,0.08478701825557809,22.0,28.678109787895327,0.7586206896551724,184.46,1521.795,1337.335
Maharashtra,225.07,54,Small,2019-01-07,2,Butter,Warana,821.77,11.98,35574.423299999995,32,Frozen,2018-11-25,2018-12-27,776,47.92,37185.92,Delhi,Wholesale,45,62.18,168.12,2018-12-27,2018,12,27,3,4,32,0,1,24.25,217.0,8.947368421052632,54.71471100437881,0.0,45.0,2.7102941176470585,399.0,28.678109787895327,24.25,539.1,27889.44,27350.34
Uttar Pradesh,679.15,82,Medium,2019-01-03,2,Butter,Parag Milk Foods,514.72,14.1975,29097.1216,30,Refrigerated,2018-12-13,2019-01-12,173,56.79,9824.67,Tamil Nadu,Online,341,53.01,187.95,2019-01-03,2019,1,3,3,1,21,9,0,8.238095238095237,217.0,8.947368421052632,54.71471100437881,80.52631578947368,260.4736842105263,0.9207282913165267,323.6666666666667,62.264586095764265,0.9153439153439152,3698.075131578947,7368.5025000000005,3670.4273684210534
Jharkhand,247.35,81,Small,2019-01-25,2,Butter,Mother Dairy,722.89,14.065,43677.0138,28,Refrigerated,2018-12-09,2019-01-06,312,56.26,17553.12,Chandigarh,Wholesale,410,47.62,148.82,2019-01-06,2019,1,6,6,1,28,0,1,11.142857142857142,217.0,8.947368421052632,54.71471100437881,0.0,410.0,1.2453781512605042,320.75,62.264586095764265,11.142857142857142,5766.65,13164.84,7398.1900000000005
Haryana,721.78,46,Medium,2019-01-28,2,Butter,Amul,965.9,20.005,74190.779,38,Refrigerated,2018-11-29,2019-01-06,773,80.02,61855.46,Kerala,Wholesale,192,34.08,113.36,2019-01-06,2019,1,6,6,1,38,0,1,20.342105263157894,217.0,8.947368421052632,54.71471100437881,0.0,192.0,2.273529411764706,411.2,62.264586095764265,20.342105263157894,3840.96,46391.595,42550.635
West Bengal,897.53,46,Large,2019-01-09,2,Butter,Warana,597.69,22.0825,53648.65440000001,35,Frozen,2018-12-04,2019-01-08,446,88.33,39395.18,Jharkhand,Wholesale,151,35.82,163.04,2019-01-08,2019,1,8,1,1,35,0,1,12.742857142857142,217.0,8.947368421052632,54.71471100437881,0.0,151.0,1.4242016806722688,417.0,62.264586095764265,12.742857142857142,3334.4575,29546.385000000002,26211.9275
Delhi,528.93,26,Medium,2019-01-20,2,Butter,Parag Milk Foods,210.36,20.755,16849.836,38,Refrigerated,2018-12-02,2019-01-09,197,83.02,16354.94,Bihar,Retail,13,91.66,112.36,2019-01-09,2019,1,9,2,1,38,0,1,5.184210526315789,217.0,8.947368421052632,54.71471100437881,0.0,13.0,0.5794117647058824,385.57142857142856,62.264586095764265,5.184210526315789,269.815,12266.205,11996.39
Delhi,104.68,59,Large,2019-01-11,2,Butter,Warana,414.67,6.9625,11150.4763,36,Refrigerated,2019-01-10,2019-02-15,192,27.85,5347.2,Bihar,Retail,222,11.16,51.24,2019-01-11,2019,1,11,4,1,1,35,0,192.0,217.0,8.947368421052632,54.71471100437881,222.0,0.0,21.458823529411763,409.85714285714283,62.264586095764265,5.485714285714286,0.0,4010.4000000000005,4010.4000000000005
Delhi,691.1,33,Medium,2019-01-13,2,Butter,Warana,998.52,18.655,76356.8244,38,Frozen,2018-12-16,2019-01-23,404,74.62,30146.48,Haryana,Wholesale,594,53.34,115.57,2019-01-13,2019,1,13,6,1,28,10,0,14.428571428571429,217.0,8.947368421052632,54.71471100437881,89.47368421052632,504.5263157894737,1.6126050420168065,356.7142857142857,62.264586095764265,1.4428571428571428,9411.938421052633,22609.86,13197.921578947367
Chandigarh,395.78,50,Small,2019-01-15,2,Butter,Warana,929.13,13.0825,48454.1295,40,Refrigerated,2018-12-18,2019-01-27,600,52.33,31398.0,Karnataka,Online,329,99.53,65.43,2019-01-15,2019,1,15,1,1,28,12,0,21.428571428571427,217.0,8.947368421052632,54.71471100437881,107.36842105263159,221.6315789473684,2.3949579831932772,417.7142857142857,62.264586095764265,1.7857142857142856,2899.495131578947,23548.5,20649.004868421052
Kerala,734.14,51,Medium,2019-01-19,2,Butter,Warana,954.95,8.3275,32286.8595,35,Frozen,2018-12-18,2019-01-22,409,33.31,13623.79,Uttar Pradesh,Wholesale,545,66.93,40.36,2019-01-19,2019,1,19,5,1,32,3,0,12.78125,217.0,8.947368421052632,54.71471100437881,26.842105263157897,518.1578947368421,1.4284926470588235,431.57142857142856,62.264586095764265,4.260416666666667,4314.959868421052,10217.8425,5902.882631578948
Kerala,166.71,57,Large,2019-02-07,2,Butter,Amul,127.67,5.6475,2508.7155,35,Frozen,2018-12-21,2019-01-25,26,22.59,587.34,Karnataka,Retail,101,82.15,109.14,2019-01-25,2019,1,25,4,1,35,0,1,0.7428571428571429,217.0,8.947368421052632,54.71471100437881,0.0,101.0,0.0830252100840336,324.85714285714283,62.264586095764265,0.7428571428571429,570.3975,440.505,-129.89250000000004
Uttar Pradesh,880.74,21,Small,2019-02-02,2,Butter,Amul,844.47,22.66,80545.5486,38,Frozen,2019-01-02,2019-02-09,188,90.64,17040.32,Karnataka,Retail,656,79.33,71.89,2019-02-02,2019,2,2,5,1,31,7,0,6.064516129032258,217.0,8.947368421052632,54.71471100437881,62.631578947368425,593.3684210526316,0.677798861480076,288.0,9.341512894137912,0.8663594470046083,13445.72842105263,12780.240000000002,-665.4884210526288
Gujarat,515.84,36,Large,2019-02-06,2,Butter,Parag Milk Foods,545.42,18.295,37443.083,40,Frozen,2018-12-27,2019-02-05,129,73.18,9440.22,Bihar,Retail,416,67.52,129.08,2019-02-05,2019,2,5,1,1,40,0,1,3.225,217.0,8.947368421052632,54.71471100437881,0.0,416.0,0.36044117647058826,278.2857142857143,9.341512894137912,3.225,7610.720000000001,7080.165000000001,-530.5550000000003
Maharashtra,83.9,34,Small,2019-03-12,2,Butter,Amul,740.01,23.98,70774.5564,26,Refrigerated,2019-01-14,2019-02-09,303,95.92,29063.76,Jharkhand,Wholesale,437,76.67,126.16,2019-02-09,2019,2,9,5,1,26,0,1,11.653846153846153,217.0,8.947368421052632,54.71471100437881,0.0,437.0,1.3024886877828052,294.14285714285717,9.341512894137912,11.653846153846153,10479.26,21797.82,11318.56
Madhya Pradesh,78.55,89,Medium,2019-02-13,2,Butter,Parag Milk Foods,746.15,19.025,57804.2405,25,Refrigerated,2019-01-20,2019-02-14,305,76.1,23210.5,Karnataka,Wholesale,441,34.35,104.43,2019-02-13,2019,2,13,2,1,24,1,0,12.708333333333334,217.0,8.947368421052632,54.71471100437881,8.947368421052632,432.05263157894734,1.4203431372549018,280.0,9.341512894137912,12.708333333333334,8219.801315789473,17407.875,9188.073684210527
Bihar,467.23,46,Small,2019-02-19,2,Butter,Warana,351.25,12.75,17931.3125,32,Frozen,2019-01-15,2019-02-16,350,51.0,17850.0,Maharashtra,Wholesale,1,56.15,124.41,2019-02-16,2019,2,16,5,1,32,0,1,10.9375,217.0,8.947368421052632,54.71471100437881,0.0,1.0,1.2224264705882353,244.28571428571428,9.341512894137912,10.9375,12.75,13387.5,13374.75
Gujarat,612.82,80,Medium,2019-03-11,2,Butter,Amul,151.17,24.11,14090.555699999995,25,Refrigerated,2019-02-06,2019-03-03,112,96.44,10801.28,Bihar,Retail,39,12.52,164.22,2019-03-03,2019,3,3,6,1,25,0,1,4.48,217.0,8.947368421052632,54.71471100437881,0.0,39.0,0.5007058823529411,201.85714285714286,39.693180755752905,4.48,940.29,8100.96,7160.67
West Bengal,293.43,35,Medium,2019-03-08,2,Butter,Parag Milk Foods,839.04,18.785,61333.82399999999,25,Frozen,2019-02-12,2019-03-09,490,75.14,36818.6,Gujarat,Online,349,86.94,160.89,2019-03-08,2019,3,8,4,1,24,1,0,20.416666666666668,217.0,8.947368421052632,54.71471100437881,8.947368421052632,340.05263157894734,2.281862745098039,268.14285714285717,39.693180755752905,20.416666666666668,6387.888684210526,27613.95,21226.061315789477
Tamil Nadu,128.66,88,Large,2019-04-14,2,Butter,Warana,933.8,18.9625,68316.80799999999,26,Refrigerated,2019-02-16,2019-03-14,380,75.85,28823.0,Delhi,Retail,553,95.54,170.56,2019-03-14,2019,3,14,3,1,26,0,1,14.615384615384615,217.0,8.947368421052632,54.71471100437881,0.0,553.0,1.6334841628959276,295.57142857142856,39.693180755752905,14.615384615384615,10486.262499999999,21617.25,11130.987500000001
Uttar Pradesh,347.34,46,Medium,2019-03-16,2,Butter,Amul,358.35,23.3625,33849.741,36,Frozen,2019-02-23,2019-03-31,248,93.45,23175.6,Jharkhand,Wholesale,110,82.68,104.08,2019-03-16,2019,3,16,5,1,21,15,0,11.80952380952381,217.0,8.947368421052632,54.71471100437881,110.0,0.0,1.3198879551820728,312.57142857142856,39.693180755752905,0.7873015873015874,0.0,17381.7,17381.7
Telangana,385.57,65,Small,2019-03-23,2,Butter,Amul,300.72,9.7825,10588.3512,39,Frozen,2019-03-09,2019-04-17,268,39.13,10486.84,Rajasthan,Online,32,17.37,115.85,2019-03-23,2019,3,23,5,1,14,25,0,19.142857142857142,217.0,8.947368421052632,54.71471100437881,32.0,0.0,2.1394957983193277,307.57142857142856,39.693180755752905,0.7657142857142857,0.0,7865.130000000001,7865.130000000001
