Feature,Importance
Capacity_Utilization,0.6262255755040625
Quantity (liters/kg),0.15587705242458724
Days_to_Sell,0.09018719069916696
Sales_Velocity,0.052533897207525514
Stock_Efficiency,0.01740277685984682
Sales_Trend_7d,0.013663367234431003
Sales_Volatility_Hist,0.008424852425609522
Product Name_Milk,0.006360718152219479
Sales_Velocity_Hist_Mean,0.005097596877842084
Seasonal_Volatility,0.0046773817718709434
Shelf Life (days),0.004420319514530511
Days_to_Expire,0.004279881023797264
Total Value,0.003394162840715136
Price per Unit,0.002170273747418536
Price per Unit (sold),0.002152527186830616
Quantity_Sold_Hist_Mean,0.0016494925381998252
Product Name_Curd,0.0002787532408123463
Product Name_Lassi,0.0002461334142376065
Product Name_Paneer,0.00018481634717777893
Product Name_Buttermilk,0.0001779262451639865
Product Name_Cheese,0.0001558009392843048
Product Name_Butter,0.00012691761007589962
Product Name_Ice Cream,0.00012461679928923262
Product Name_Yogurt,0.0001238889242587204
Product Name_Ghee,6.408047104611334e-05
